House Vote #11 2021-01-07T03:08:00 - On Agreeing to the Objection [Electoral College Votes from Pennsylvania],,,,,
person,state,district,vote,name,party
412199,GA,4,Nay,Rep. Henry “Hank” Johnson Jr. [D],Democrat
412211,KY,3,Nay,Rep. John Yarmuth [D],Democrat
412212,MD,3,Nay,Rep. John Sarbanes [D],Democrat
412213,MI,7,Yea,Rep. Tim Walberg [R],Republican
412217,NE,3,Yea,Rep. Adrian Smith [R],Republican
412221,NY,9,Nay,Rep. Yvette Clarke [D],Democrat
412226,OH,4,Yea,Rep. Jim Jordan [R],Republican
412236,TN,9,Nay,Rep. Steve Cohen [D],Democrat
412239,VT,0,Nay,Rep. Peter Welch [D],Democrat
412250,FL,12,Not Voting,Rep. Gus Bilirakis [R],Republican
412255,VA,1,Yea,Rep. Robert Wittman [R],Republican
412256,OH,5,Nay,Rep. Robert Latta [R],Republican
412257,IL,11,Nay,Rep. Bill Foster [D],Democrat
412258,IN,7,Nay,Rep. André Carson [D],Democrat
412259,CA,14,Nay,Rep. Jackie Speier [D],Democrat
412261,LA,1,Yea,Rep. Steve Scalise [R],Republican
412272,VA,11,Nay,Rep. Gerald Connolly [D],Democrat
412278,KY,2,Nay,Rep. Brett Guthrie [R],Republican
412282,CT,4,Nay,Rep. James Himes [D],Democrat
412286,AZ,2,Nay,Rep. Ann Kirkpatrick [D],Democrat
412292,MO,3,Yea,Rep. Blaine Luetkemeyer [R],Republican
412295,CA,4,Nay,Rep. Tom McClintock [R],Republican
412307,ME,1,Nay,Rep. Chellie Pingree [D],Democrat
412309,FL,8,Yea,Rep. Bill Posey [R],Republican
412315,OR,5,Nay,Rep. Kurt Schrader [D],Democrat
412317,PA,15,Yea,Rep. Glenn Thompson [R],Republican
412318,NV,1,Nay,Rep. Dina Titus [D],Democrat
412319,NY,20,Nay,Rep. Paul Tonko [D],Democrat
412327,OH,11,Nay,Rep. Marcia Fudge [D],Democrat
412331,IL,5,Nay,Rep. Mike Quigley [D],Democrat
412379,CA,27,Nay,Rep. Judy Chu [D],Democrat
412382,CA,3,Nay,Rep. John Garamendi [D],Democrat
412385,FL,22,Nay,Rep. Theodore “Ted” Deutch [D],Democrat
412393,NY,23,Nay,Rep. Tom Reed II [R],Republican
412395,AL,5,Yea,Rep. Mo Brooks [R],Republican
412396,AL,7,Nay,Rep. Terri Sewell [D],Democrat
412397,AZ,4,Yea,Rep. Paul Gosar [R],Republican
412399,AZ,6,Yea,Rep. David Schweikert [R],Republican
412400,AR,1,Yea,Rep. Eric “Rick” Crawford [R],Republican
412402,AR,3,Nay,Rep. Steve Womack [R],Republican
412404,CA,37,Nay,Rep. Karen Bass [D],Democrat
412410,FL,11,Yea,Rep. Daniel Webster [R],Republican
412412,FL,24,Nay,Rep. Frederica Wilson [D],Democrat
412417,GA,8,Nay,Rep. Austin Scott [R],Republican
412421,IL,16,Nay,Rep. Adam Kinzinger [R],Republican
412427,IN,8,Nay,Rep. Larry Bucshon [R],Republican
412432,LA,2,Nay,Rep. Cedric Richmond [D],Democrat
412434,MD,1,Yea,Rep. Andy Harris [R],Republican
412435,MA,9,Nay,Rep. William Keating [D],Democrat
412437,MI,2,Nay,Rep. Bill Huizenga [R],Republican
412443,MS,4,Yea,Rep. Steven Palazzo [R],Republican
412444,MO,4,Yea,Rep. Vicky Hartzler [R],Republican
412445,MO,7,Yea,Rep. Billy Long [R],Republican
412460,OH,6,Yea,Rep. Bill Johnson [R],Republican
412461,OH,15,Nay,Rep. Steve Stivers [R],Republican
412463,OH,7,Yea,Rep. Bob Gibbs [R],Republican
412465,PA,16,Yea,Rep. Mike Kelly [R],Republican
412470,RI,1,Nay,Rep. David Cicilline [D],Democrat
412472,SC,3,Yea,Rep. Jeff Duncan [R],Republican
412476,TN,3,Yea,Rep. Charles “Chuck” Fleischmann [R],Republican
412477,TN,4,Yea,Rep. Scott DesJarlais [R],Republican
412485,VA,9,Yea,Rep. Morgan Griffith [R],Republican
412486,WA,3,Nay,Rep. Jaime Herrera Beutler [R],Republican
412487,WV,1,Nay,Rep. David McKinley [R],Republican
412500,NV,2,Nay,Rep. Mark Amodei [R],Republican
412501,OR,1,Nay,Rep. Suzanne Bonamici [D],Democrat
412503,KY,4,Nay,Rep. Thomas Massie [R],Republican
412505,WA,1,Nay,Rep. Suzan DelBene [D],Democrat
412506,NJ,10,Nay,Rep. Donald Payne Jr. [D],Democrat
412510,CA,1,Yea,Rep. Doug LaMalfa [R],Republican
412511,CA,2,Nay,Rep. Jared Huffman [D],Democrat
412512,CA,7,Nay,Rep. Ami Bera [D],Democrat
412514,CA,15,Nay,Rep. Eric Swalwell [D],Democrat
412516,CA,26,Nay,Rep. Julia Brownley [D],Democrat
412517,CA,29,Nay,Rep. Tony Cárdenas [D],Democrat
412519,CA,36,Nay,Rep. Raul Ruiz [D],Democrat
412520,CA,41,Nay,Rep. Mark Takano [D],Democrat
412521,CA,47,Nay,Rep. Alan Lowenthal [D],Democrat
412522,CA,51,Nay,Rep. Juan Vargas [D],Democrat
412523,CA,52,Nay,Rep. Scott Peters [D],Democrat
412529,FL,21,Nay,Rep. Lois Frankel [D],Democrat
412534,IL,10,Nay,Rep. Bradley “Brad” Schneider [D],Democrat
412536,IL,13,Nay,Rep. Rodney Davis [R],Republican
412537,IL,17,Nay,Rep. Cheri Bustos [D],Democrat
412538,IN,2,Yea,Rep. Jackie Walorski [R],Republican
412541,KY,6,Nay,Rep. Garland “Andy” Barr [R],Republican
412546,MI,5,Nay,Rep. Daniel Kildee [D],Democrat
412548,MO,2,Nay,Rep. Ann Wagner [R],Republican
412550,NC,8,Yea,Rep. Richard Hudson [R],Republican
412557,NH,2,Nay,Rep. Ann Kuster [D],Democrat
412559,NV,4,Nay,Rep. Steven Horsford [D],Democrat
412560,NY,6,Nay,Rep. Grace Meng [D],Democrat
412561,NY,8,Nay,Rep. Hakeem Jeffries [D],Democrat
412562,NY,18,Nay,Rep. Sean Maloney [D],Democrat
412564,OH,2,Nay,Rep. Brad Wenstrup [R],Republican
412565,OH,3,Nay,Rep. Joyce Beatty [D],Democrat
412566,OH,14,Not Voting,Rep. David Joyce [R],Republican
412568,OK,2,Yea,Rep. Markwayne Mullin [R],Republican
412569,PA,10,Yea,Rep. Scott Perry [R],Republican
412571,PA,8,Nay,Rep. Matthew Cartwright [D],Democrat
412572,SC,7,Yea,Rep. Tom Rice [R],Republican
412574,TX,14,Yea,Rep. Randy Weber [R],Republican
412576,TX,20,Nay,Rep. Joaquin Castro [D],Democrat
412578,TX,25,Yea,Rep. Roger Williams [R],Republican
412579,TX,33,Nay,Rep. Marc Veasey [D],Democrat
412580,TX,34,Nay,Rep. Filemon Vela [D],Democrat
412581,UT,2,Yea,Rep. Chris Stewart [R],Republican
412583,WA,6,Nay,Rep. Derek Kilmer [D],Democrat
412585,WI,2,Nay,Rep. Mark Pocan [D],Democrat
412595,IL,2,Nay,Rep. Robin Kelly [D],Democrat
412596,MO,8,Yea,Rep. Jason Smith [R],Republican
412600,MA,5,Nay,Rep. Katherine Clark [D],Democrat
412606,NJ,1,Nay,Rep. Donald Norcross [D],Democrat
412607,NC,12,Nay,Rep. Alma Adams [D],Democrat
412608,AL,6,Yea,Rep. Gary Palmer [R],Republican
412609,AR,2,Nay,Rep. French Hill [R],Republican
412610,AR,4,Nay,Rep. Bruce Westerman [R],Republican
412612,AZ,7,Nay,Rep. Ruben Gallego [D],Democrat
412613,CA,11,Nay,Rep. Mark DeSaulnier [D],Democrat
412615,CA,31,Nay,Rep. Pete Aguilar [D],Democrat
412616,CA,33,Nay,Rep. Ted Lieu [D],Democrat
412617,CA,35,Nay,Rep. Norma Torres [D],Democrat
412619,CO,4,Not Voting,Rep. Ken Buck [R],Republican
412622,GA,1,Yea,Rep. Buddy Carter [R],Republican
412623,GA,10,Yea,Rep. Jody Hice [R],Republican
412624,GA,11,Yea,Rep. Barry Loudermilk [R],Republican
412625,GA,12,Yea,Rep. Rick Allen [R],Republican
412629,IL,12,Yea,Rep. Mike Bost [R],Republican
412631,LA,6,Yea,Rep. Garret Graves [R],Republican
412632,MA,6,Nay,Rep. Seth Moulton [D],Democrat
412634,MI,4,Nay,Rep. John Moolenaar [R],Republican
412637,MI,12,Nay,Rep. Debbie Dingell [D],Democrat
412638,MI,14,Nay,Rep. Brenda Lawrence [D],Democrat
412639,MN,6,Nay,Rep. Tom Emmer [R],Republican
412641,NC,7,Yea,Rep. David Rouzer [R],Republican
412644,NJ,12,Nay,Rep. Bonnie Watson Coleman [D],Democrat
412646,NY,1,Yea,Rep. Lee Zeldin [R],Republican
412647,NY,4,Nay,Rep. Kathleen Rice [D],Democrat
412648,NY,21,Yea,Rep. Elise Stefanik [R],Republican
412649,NY,24,Nay,Rep. John Katko [R],Republican
412652,PA,2,Nay,Rep. Brendan Boyle [D],Democrat
412655,TX,36,Yea,Rep. Brian Babin [R],Republican
412657,VA,8,Nay,Rep. Donald Beyer [D],Democrat
412660,WA,4,Nay,Rep. Dan Newhouse [R],Republican
412661,WI,6,Nay,Rep. Glenn Grothman [R],Republican
412662,WV,2,Yea,Rep. Alex Mooney [R],Republican
412673,MS,1,Yea,Rep. Trent Kelly [R],Republican
412674,IL,18,Nay,Rep. Darin LaHood [R],Republican
412675,OH,8,Yea,Rep. Warren Davidson [R],Republican
412676,KY,1,Nay,Rep. James Comer [R],Republican
412677,PA,3,Nay,Rep. Dwight Evans [D],Democrat
412682,AZ,1,Nay,Rep. Tom O’Halleran [D],Democrat
412683,AZ,5,Yea,Rep. Andy Biggs [R],Republican
412684,CA,17,Nay,Rep. Ro Khanna [D],Democrat
412685,CA,20,Nay,Rep. Jimmy Panetta [D],Democrat
412686,CA,24,Nay,Rep. Salud Carbajal [D],Democrat
412687,CA,44,Nay,Rep. Nanette Barragán [D],Democrat
412688,CA,46,Nay,Rep. Luis Correa [D],Democrat
412689,DE,0,Nay,Rep. Lisa Blunt Rochester [D],Democrat
412690,FL,1,Yea,Rep. Matt Gaetz [R],Republican
412691,FL,2,Yea,Rep. Neal Dunn [R],Republican
412692,FL,4,Yea,Rep. John Rutherford [R],Republican
412693,FL,5,Nay,Rep. Al Lawson [D],Democrat
412694,FL,7,Nay,Rep. Stephanie Murphy [D],Democrat
412695,FL,9,Nay,Rep. Darren Soto [D],Democrat
412696,FL,10,Nay,Rep. Val Demings [D],Democrat
412697,FL,13,Nay,Rep. Charlie Crist [D],Democrat
412698,FL,18,Yea,Rep. Brian Mast [R],Republican
412700,GA,3,Nay,Rep. Drew Ferguson IV [R],Republican
412701,IL,8,Nay,Rep. Raja Krishnamoorthi [D],Democrat
412702,IN,3,Yea,Rep. Jim Banks [R],Republican
412703,IN,9,Nay,Rep. Trey Hollingsworth [R],Republican
412705,LA,3,Yea,Rep. Clay Higgins [R],Republican
412706,LA,4,Yea,Rep. Mike Johnson [R],Republican
412707,MD,4,Nay,Rep. Anthony Brown [D],Democrat
412708,MD,8,Nay,Rep. Jamie Raskin [D],Democrat
412709,MI,1,Yea,Rep. Jack Bergman [R],Republican
412712,NC,13,Yea,Rep. Ted Budd [R],Republican
412713,NE,2,Nay,Rep. Don Bacon [R],Republican
412714,NJ,5,Nay,Rep. Josh Gottheimer [D],Democrat
412717,NY,3,Nay,Rep. Thomas Suozzi [D],Democrat
412718,NY,13,Nay,Rep. Adriano Espaillat [D],Democrat
412721,PA,1,Nay,Rep. Brian Fitzpatrick [R],Republican
412722,PA,11,Yea,Rep. Lloyd Smucker [R],Republican
412724,TN,8,Yea,Rep. David Kustoff [R],Republican
412725,TX,15,Nay,Rep. Vicente Gonzalez [D],Democrat
412726,TX,19,Yea,Rep. Jodey Arrington [R],Republican
412728,VA,4,Nay,Rep. Donald McEachin [D],Democrat
